Postal Code;Name;Population;Population Density;Merger
84028;Porto Empedocle;16841;668;084028
81001;Alcamo;45314;346;081001
81002;Buseto Palizzolo;3031;42;081002
81003;Calatafimi Segesta;6938;45;081003
81004;Campobello di Mazara;11580;176;081004
81005;Castellammare del Golfo;14603;115;081005
81006;Castelvetrano;31824;152;081006
81007;Custonaci;5392;77;081007
81008;Erice;28012;592;081008
81009;Favignana;4185;109;081009
81010;Gibellina;4264;92;081010
89015;Palazzolo Acreide;9091;104;089015
89016;Rosolini;21526;282;089016
89017;Siracusa;118385;570;089017
89018;Solarino;7853;603;089018
89019;Sortino;8907;95;089019
89020;Portopalo di Capo Passero;3749;248;089020
89021;Priolo Gargallo;12167;214;089021
81011;Marsala;80218;330;081011
83005;Barcellona Pozzo di Gotto;41632;704;083005
83006;Basicò;679;56;083006
83007;Brolo;5826;760;083007
83008;Capizzi;3347;48;083008
83009;Capo d'Orlando;13260;919;083009
83010;Capri Leone;4516;668;083010
83011;Caronia;3463;15;083011
83012;Casalvecchio Siculo;907;27;083012
83013;Castel di Lucio;1366;47;083013
83014;Castell'Umberto;3295;288;083014
83015;Castelmola;1073;64;083015
83016;Castroreale;2548;48;083016
83017;Cesarò;2572;12;083017
83018;Condrò;481;94;083018
83019;Falcone;2874;308;083019
83020;Ficarra;1566;84;083020
83021;Fiumedinisi;1559;42;083021
83022;Floresta;516;16;083022
83023;Fondachelli-Fantina;1090;26;083023
83024;Forza d'Agrò;878;78;083024
83025;Francavilla di Sicilia;3901;47;083025
83026;Frazzanò;755;108;083026
83027;Furci Siculo;3428;191;083027
83028;Furnari;3665;270;083028
83029;Gaggi;3138;410;083029
82020;Capaci;11030;1802;082020
82021;Carini;35681;466;082021
82022;Castelbuono;9161;151;082022
82023;Casteldaccia;10884;321;082023
82024;Castellana Sicula;3549;48;082024
82025;Castronovo di Sicilia;3175;16;082025
82026;Cefalà  Diana;1007;111;082026
82027;Cefalù;14354;217;082027
82049;Monreale;38018;72;082049
82050;Montelepre;6421;649;082050
82051;Montemaggiore Belsito;3566;111;082051
82052;Palazzo Adriano;2227;17;082052
82053;Palermo;657561;4095;082053
82078;Vicari;2948;34;082078
82079;Villabate;19819;5215;082079
82080;Villafrati;3377;132;082080
82081;Scillato;627;20;082081
82082;Blufi;1083;49;082082
83001;Alcara li Fusi;2072;33;083001
83030;Galati Mamertino;2794;71;083030
83031;Gallodoro;381;55;083031
83107;Acquedolci;5744;444;083107
83108;Torrenova;4240;328;083108
84001;Agrigento;58323;238;084001
84002;Alessandria della Rocca;3118;50;084002
84003;Aragona;9493;127;084003
84004;Bivona;3882;44;084004
84029;Racalmuto;8345;123;084029
84030;Raffadali;12837;576;084030
84031;Ravanusa;12128;245;084031
84032;Realmonte;4487;220;084032
84033;Ribera;19302;163;084033
84034;Sambuca di Sicilia;6114;63;084034
84035;San Biagio Platani;3501;82;084035
87037;Ramacca;10775;35;087037
87038;Randazzo;11108;54;087038
87039;Riposto;14181;1071;087039
87040;San Cono;2790;421;087040
87041;San Giovanni la Punta;22049;2033;087041
87042;San Gregorio di Catania;11497;2035;087042
87043;San Michele di Ganzaria;3463;134;087043
87044;San Pietro Clarenza;7102;1132;087044
87045;Sant'Agata li Battiati;9829;3145;087045
87046;Sant'Alfio;1631;63;087046
87047;Santa Maria di Licodia;7322;279;087047
87048;Santa Venerina;8351;439;087048
87005;Aci Sant'Antonio;17270;1205;087005
87006;Adrano;35549;427;087006
87007;Belpasso;26378;159;087007
87008;Biancavilla;23703;337;087008
87009;Bronte;19234;77;087009
87010;Calatabiano;5383;204;087010
87011;Caltagirone;38123;99;087011
87049;Scordia;17185;707;087049
81012;Mazara del Vallo;49995;182;081012
81013;Paceco;11487;198;081013
81014;Pantelleria;7493;89;081014
81015;Partanna;10854;131;081015
81016;Poggioreale;1534;41;081016
81017;Salaparuta;1721;42;081017
81018;Salemi;10871;60;081018
81019;Santa Ninfa;5095;84;081019
81020;San Vito Lo Capo;4415;73;081020
84036;San Giovanni Gemini;8127;306;084036
84037;Santa Elisabetta;2608;161;084037
84038;Santa Margherita di Belice;6544;97;084038
84039;Sant'Angelo Muxaro;1471;23;084039
84040;Santo Stefano Quisquina;4897;57;084040
84041;Sciacca;40899;213;084041
85022;Villalba;1731;41;085022
86001;Agira;8484;52;086001
86002;Aidone;4929;23;086002
87012;Camporotondo Etneo;4476;683;087012
87013;Castel di Iudica;4748;46;087013
87014;Castiglione di Sicilia;3298;28;087014
83032;Giardini-Naxos;9268;1752;083032
83033;Gioiosa Marea;7114;269;083033
83034;Graniti;1522;151;083034
83035;Gualtieri Sicaminò;1834;128;083035
83036;Itala;1663;151;083036
83037;Leni;702;80;083037
83038;Letojanni;2699;401;083038
83039;Librizzi;1771;76;083039
83040;Limina;900;90;083040
87050;Trecastagni;10482;547;087050
87051;Tremestieri Etneo;21032;3227;087051
87052;Valverde;7714;1397;087052
87053;Viagrande;8155;808;087053
87054;Vizzini;6409;51;087054
87055;Zafferana Etnea;9249;120;087055
87056;Mazzarrone;3989;115;087056
87057;Maniace;3671;97;087057
87058;Ragalna;3676;93;087058
88001;Acate;9574;93;088001
88002;Chiaramonte Gulfi;8224;65;088002
88003;Comiso;29184;446;088003
88004;Giarratana;3143;72;088004
88005;Ispica;15122;133;088005
88006;Modica;53959;185;088006
88007;Monterosso Almo;3183;56;088007
88008;Pozzallo;18929;1231;088008
88009;Ragusa;69794;157;088009
83076;Rometta;6541;204;083076
83077;San Filippo del Mela;7065;703;083077
83078;San Fratello;3942;58;083078
84042;Siculiana;4632;113;084042
84043;Villafranca Sicula;1426;81;084043
85001;Acquaviva Platani;1041;71;085001
85002;Bompensiere;610;31;085002
85003;Butera;4937;17;085003
85004;Caltanissetta;61711;146;085004
85005;Campofranco;3218;89;085005
85006;Delia;4325;349;085006
85007;Gela;75668;271;085007
85008;Marianopoli;2006;153;085008
85009;Mazzarino;12333;42;085009
85010;Milena;3178;129;085010
85011;Montedoro;1643;113;085011
85012;Mussomeli;11010;67;085012
85013;Niscemi;27975;289;085013
85014;Resuttano;2139;56;085014
86003;Assoro;5366;48;086003
86004;Barrafranca;13977;260;086004
86005;Calascibetta;4628;52;086005
86006;Catenanuova;4999;445;086006
86007;Centuripe;5599;32;086007
86008;Cerami;2150;23;086008
86009;Enna;27894;78;086009
86010;Gagliano Castelferrato;3722;66;086010
86011;Leonforte;13878;164;086011
86012;Nicosia;14272;65;086012
86013;Nissoria;2969;48;086013
86014;Piazza Armerina;22196;73;086014
86015;Pietraperzia;7227;61;086015
86016;Regalbuto;7388;43;086016
86017;Sperlinga;833;14;086017
87015;Catania;293902;1607;087015
87016;Fiumefreddo di Sicilia;9690;797;087016
87017;Giarre;28114;1029;087017
